ID,year,mo,month,quarter,st,state,country,product,category,unit_price,unit,amount
1,2013,7,Jul,Q3,ON,Ontario,Canada,Tablet,Electronic,500,42,21000
2,2013,6,Jun,Q2,WA,Washington,USA,Chair,Furniture,120,12,1440
3,2013,4,Apr,Q2,NY,New York,USA,Mattress,Furniture,800,41,32800
4,2013,7,Jul,Q3,WA,Washington,USA,Laptop,Electronic,1000,27,27000
5,2013,8,Aug,Q3,QU,Quebec,Canada,Chair,Furniture,120,23,2760
6,2013,10,Oct,Q4,NY,New York,USA,Printer,Electronic,200,28,5600
7,2014,11,Nov,Q4,CA,California,USA,Tablet,Electronic,500,58,29000
8,2013,1,Jan,Q1,NY,New York,USA,Laptop,Electronic,1000,24,24000
9,2014,3,Mar,Q1,ON,Ontario,Canada,Tablet,Electronic,500,56,28000
10,2014,8,Aug,Q3,CA,California,USA,Printer,Electronic,200,2,400
11,2013,1,Jan,Q1,QU,Quebec,Canada,Chair,Furniture,120,28,3360
12,2014,4,Apr,Q2,QU,Quebec,Canada,Tablet,Electronic,500,11,5500
13,2013,7,Jul,Q3,ON,Ontario,Canada,Tablet,Electronic,500,1,500
14,2014,10,Oct,Q4,CA,California,USA,Laptop,Electronic,1000,30,30000
15,2014,10,Oct,Q4,CA,California,USA,Chair,Furniture,120,58,6960
16,2013,11,Nov,Q4,QU,Quebec,Canada,Printer,Electronic,200,7,1400
17,2014,12,Dec,Q4,CA,California,USA,Tablet,Electronic,500,47,23500
18,2014,12,Dec,Q4,CA,California,USA,Chair,Furniture,120,60,7200
19,2013,1,Jan,Q1,NY,New York,USA,Laptop,Electronic,1000,60,60000
20,2013,7,Jul,Q3,CA,California,USA,Chair,Furniture,120,32,3840
21,2013,3,Mar,Q1,NY,New York,USA,Tablet,Electronic,500,1,500
22,2014,2,Feb,Q1,QU,Quebec,Canada,Laptop,Electronic,1000,44,44000
23,2014,10,Oct,Q4,WA,Washington,USA,Tablet,Electronic,500,62,31000
24,2014,9,Sep,Q3,NY,New York,USA,Chair,Furniture,120,3,360
25,2014,12,Dec,Q4,WA,Washington,USA,Laptop,Electronic,1000,11,11000
26,2013,2,Feb,Q1,WA,Washington,USA,Mattress,Furniture,800,31,24800
