@relation 'all-weka.filters.unsupervised.attribute.NumericToNominal-R2-weka.filters.unsupervised.attribute.Remove-R1,9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Survived {0,1}
@attribute Pclass numeric
@attribute Sex {male,female}
@attribute Age numeric
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare numeric
@attribute Embarked {S,C,Q}

@data
0,1,male,0.271174,0.125,0,0.014151,S
1,0,female,0.472229,0.125,0,0.139136,C
1,1,female,0.321438,0,0,0.015469,S
1,0,female,0.434531,0.125,0,0.103644,S
0,1,male,0.434531,0,0,0.015713,S
0,1,male,?,0,0,0.01651,Q
0,0,male,0.673285,0,0,0.101229,S
0,1,male,0.019854,0.375,0.166667,0.041136,S
1,1,female,0.334004,0,0.333333,0.021731,S
1,0.5,female,0.170646,0.125,0,0.058694,C
1,1,female,0.044986,0.125,0.166667,0.032596,S
1,0,female,0.723549,0,0,0.051822,S
0,1,male,0.246042,0,0,0.015713,S
0,1,male,0.484795,0.125,0.833333,0.061045,S
0,1,female,0.170646,0,0,0.01533,S
1,0.5,female,0.685851,0,0,0.03123,S
0,1,male,0.019854,0.5,0.166667,0.056848,Q
1,0.5,male,?,0,0,0.025374,S
0,1,female,0.384267,0.125,0,0.035134,S
1,1,female,?,0,0,0.014102,C
0,0.5,male,0.434531,0,0,0.050749,S
1,0.5,male,0.421965,0,0,0.025374,S
1,1,female,0.183212,0,0,0.015672,Q
1,0,male,0.346569,0,0,0.069291,S
0,1,female,0.09525,0.375,0.166667,0.041136,S
1,1,female,0.472229,0.125,0.833333,0.061264,S
0,1,male,?,0,0,0.014102,C
0,0,male,0.233476,0.375,0.333333,0.513342,S
1,1,female,?,0,0,0.015379,Q
0,1,male,?,0,0,0.015412,S
0,0,male,0.497361,0,0,0.054107,C
1,0,female,?,0.125,0,0.28599,C
1,1,female,?,0,0,0.015127,Q
0,0.5,male,0.824076,0,0,0.020495,S
0,0,male,0.346569,0.125,0,0.160387,C
0,0,male,0.522493,0.125,0,0.101497,S
1,1,male,?,0,0,0.01411,C
0,1,male,0.258608,0,0,0.015713,S
0,1,female,0.22091,0.25,0,0.035134,S
1,1,female,0.170646,0.125,0,0.021942,C
0,1,female,0.497361,0.125,0,0.018494,S
0,0.5,female,0.334004,0.125,0,0.040989,S
0,1,male,?,0,0,0.015412,C
1,0.5,female,0.03242,0.125,0.333333,0.081157,C
1,1,female,0.233476,0,0,0.015379,Q
0,1,male,?,0,0,0.015713,S
0,1,male,?,0.125,0,0.030254,Q
1,1,female,?,0,0,0.015127,Q
0,1,male,?,0.25,0,0.042315,C
0,1,female,0.22091,0.125,0,0.034743,S
0,1,male,0.082684,0.5,0.166667,0.077465,S
0,1,male,0.258608,0,0,0.015225,S
1,0,female,0.610455,0.125,0,0.149765,C
1,0.5,female,0.359135,0.125,0,0.050749,S
0,0,male,0.81151,0,0.166667,0.120975,C
1,0,male,?,0,0,0.069291,S
1,0.5,female,0.258608,0,0,0.020495,S
0,1,male,0.352852,0,0,0.01411,C
1,0.5,female,0.057552,0.125,0.333333,0.054164,S
0,1,male,0.132948,0.625,0.333333,0.091543,S
0,1,male,0.271174,0,0,0.01411,C
1,0,female,0.472229,0,0,0.15615,?
0,0,male,0.560191,0.125,0,0.162932,S
0,1,male,0.044986,0.375,0.333333,0.054457,S
0,0,male,?,0,0,0.054107,C
1,1,male,?,0.125,0.166667,0.029758,C
1,0.5,female,0.359135,0,0,0.020495,S
0,1,male,0.233476,0,0,0.015924,S
1,1,female,0.208344,0.5,0.333333,0.015469,S
0,1,male,0.321438,0.25,0,0.016908,S
0,0.5,male,0.396833,0,0,0.020495,S
0,1,female,0.195778,0.625,0.333333,0.091543,S
0,0.5,male,0.258608,0,0,0.143462,S
0,1,male,0.321438,0.125,0,0.028213,C
1,1,male,0.396833,0,0,0.110272,S
0,1,male,0.308872,0,0,0.014932,S
0,1,male,?,0,0,0.015412,S
0,1,male,?,0,0,0.015713,S
1,0.5,male,0.005152,0,0.333333,0.056604,S
1,1,female,0.371701,0,0,0.02435,S
0,1,male,0.271174,0,0,0.017567,S
1,1,male,0.359135,0,0,0.018543,S
1,1,female,?,0,0,0.0152,Q
0,0,male,0.346569,0,0,0.091933,S
1,0.5,female,0.208344,0,0,0.020495,S
1,1,female,0.409399,0.375,0,0.030937,S
0,1,male,0.195778,0.125,0.5,0.067096,S
0,1,male,?,0,0,0.015713,S
1,0,female,0.28374,0.375,0.333333,0.513342,S
0,1,male,0.296306,0,0,0.015713,S
0,1,male,0.359135,0,0,0.015713,S
0,1,male,0.246042,0,0,0.01533,S
0,0,male,0.572757,0.125,0,0.119406,S
0,1,male,0.321438,0.125,0.333333,0.04016,S
0,1,male,0.736115,0,0,0.014151,S
0,1,male,?,0,0,0.015713,S
0,0,male,0.886906,0,0,0.06764,C
1,0,male,0.28374,0,0.166667,0.123667,C
1,0.5,female,0.421965,0,0.166667,0.044893,S
0,0.5,male,0.421965,0.125,0,0.050749,S
0,1,female,0.346569,0,0,0.015412,S
0,1,male,?,0,0,0.015412,S
0,0,male,0.258608,0,0.166667,0.150855,S
0,1,male,0.409399,0,0,0.016892,S
0,1,male,0.459663,0.25,0,0.015469,S
0,1,male,0.346569,0,0,0.015412,S
1,1,female,0.258608,0,0,0.014932,S
1,1,male,?,0,0,0.015176,S
0,1,male,0.472229,0,0,0.015412,S
1,1,female,?,0.125,0,0.047138,Q
0,0,male,0.585323,0,0,0.101497,S
0,1,female,0.176929,0.125,0,0.028213,C
0,1,male,0.271174,0,0,0.015713,S
0,1,female,0.246042,0.125,0,0.019177,S
0,1,female,0.208344,0,0,0.028221,C
0,1,male,0.258608,0,0,0.015469,S
0,1,male,0.880623,0,0,0.015127,Q
0,0.5,male,0.359135,0.125,0,0.040989,S
0,0,male,0.296306,0,0.166667,0.483128,C
0,1,female,0.019854,0.5,0.333333,0.061045,S
0,0.5,male,0.258608,0.25,0,0.143462,S
0,1,male,?,0,0,0.015713,S
0,0.5,male,0.403116,0.125,0,0.058694,C
1,0.5,female,0.403116,0,0,0.025374,S
0,0,male,0.673285,0,0.166667,0.150855,S
1,1,male,0.145514,0.125,0,0.021942,C
0,1,male,?,0,0,0.015127,Q
1,1,male,0.296306,0,0,0.01394,S
1,1,female,?,0.125,0.166667,0.04364,C
0,1,male,0.560191,0,0,0.013614,S
0,1,male,0.409399,0,0,0.015412,C
0,1,male,0.246042,0,0,0.013761,S
0,1,female,0.585323,0.125,0,0.028302,S
1,0.5,female,0.359135,0.125,0,0.050749,S
0,0.5,male,0.308872,0,0,0.025374,S
0,0.5,male,0.28374,0,0,0.029367,C
1,0,female,0.233476,0,0.333333,0.051302,S
0,0,male,0.459663,0.125,0,0.103644,S
0,1,male,0.195778,0,0,0.01799,S
0,0,male,0.296306,0,0,0.154588,C
0,1,female,?,0,0.333333,0.029758,C
1,1,female,0.271174,0,0,0.015127,S
1,1,female,0.296306,0.125,0,0.030937,S
0,1,male,0.233476,0,0,0.013175,Q
0,0.5,male,0.22091,0,0,0.022447,S
0,0.5,male,0.233476,0.125,0.166667,0.071731,S
1,1,male,0.334004,0,0,0.015216,S
0,1,female,0.107816,0.25,0.333333,0.067096,S
0,0.5,male,0.45338,0,0.333333,0.050749,S
0,0.5,male,0.522493,0,0,0.025374,S
0,0.5,male,0.635587,0,0,0.024447,S
1,0,female,0.271174,0.125,0,0.129995,S
0,1,male,0.692134,0,0,0.015713,S
0,1,male,0.503644,0,0.333333,0.028302,S
0,1,male,?,0,0,0.014273,S
0,0,male,0.635587,0,0.166667,0.119804,C
1,1,female,0.195778,0,0,0.015094,Q
0,1,male,0.371701,0,0,0.015713,S
0,1,male,?,0,0,0.016908,S
0,1,male,?,1,0.333333,0.135753,S
0,1,male,0.547625,0,0.166667,0.031425,S
1,0.5,female,0.497361,0,0,0.030742,S
0,1,male,0.321438,0,0,0.015176,S
0,1,male,0.208344,0,0,0.016908,S
0,1,male,0.007288,0.5,0.166667,0.077465,S
1,1,male,0.107816,0,0.333333,0.040062,S
1,0,female,?,0,0.166667,0.107353,S
0,1,female,0.560191,0.125,0.666667,0.054457,S
0,0,male,?,0,0,0.050602,S
0,1,male,0.346569,0,0,0.110272,S
0,0,male,0.761247,0,0,0.065388,S
0,1,male,0.044986,0.5,0.166667,0.056848,Q
1,1,female,0.007288,0.125,0.166667,0.021731,S
0,1,male,0.258608,0,0,0.015469,S
0,0,male,0.698417,0,0,0.059914,C
0,1,male,0.22091,0.125,0.166667,0.01533,S
0,1,male,?,0.375,0.166667,0.049708,S
0,0,female,0.623021,0,0,0.056043,C
0,0.5,male,0.371701,0,0,0.025374,S
0,1,male,0.447097,0,0,0,S
0,1,female,?,1,0.333333,0.135753,S
0,0.5,male,?,0,0,0.029376,C
0,1,male,0.107816,0.5,0.333333,0.061264,S
1,0.5,male,0.007288,0.25,0.166667,0.076123,S
1,1,female,0.044986,0,0.333333,0.04299,S
0,0,male,?,0,0,0.097594,S
1,1,female,?,0.125,0,0.030254,Q
1,0,male,0.560191,0,0,0.051822,S
0,1,male,0.497361,0.125,0.166667,0.030254,Q
0,1,male,0.447097,0,0,0.015412,S
1,0.5,female,0.396833,0,0,0.025374,S
0,0.5,male,0.233476,0,0,0.025374,S
1,1,female,0.233476,0.125,0,0.01533,S
1,0.5,male,0.03242,0.125,0.166667,0.050749,S
1,0,female,0.547625,0,0,0.054107,C
1,0,female,0.723549,0,0,0.28599,C
0,1,male,?,0,0,0.015127,Q
0,1,male,0.522493,0,0.166667,0.016404,S
1,1,female,?,0,0,0.015127,Q
0,0.5,female,0.296306,0,0,0.025374,S
0,1,male,0.346569,0,0,0.018543,S
0,1,male,?,1,0.333333,0.135753,S
0,1,male,0.421965,0,0,0.012679,S
0,1,male,0.566474,0,0,0.014102,C
1,1,male,0.22091,0,0,0.015713,S
0,1,female,0.019854,0,0.166667,0.020421,S
0,1,male,0.396833,0.125,0,0.030937,S
1,1,male,0.321438,0,0,0.036671,C
1,1,female,0.195778,0,0,0.015127,Q
