age,workclass,education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
59, Private, Some-college, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,0,0,16, United-States, >50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Male,0,0,50, United-States, <=50K
38, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Black, Female,15020,0,45, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, >50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,98, United-States, >50K
42, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,50, United-States, >50K
52, State-gov, Masters, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,1848,40, United-States, >50K
48, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,45, United-States, >50K
42, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
69, Private, HS-grad, Widowed, Handlers-cleaners, Not-in-family, White, Female,0,0,8, United-States, <=50K
25, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
52, State-gov, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
34, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
51, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,38, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
37, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,13, United-States, >50K
51, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,1762,40, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,46, United-States, >50K
36, Private, Assoc-acdm, Never-married, Tech-support, Not-in-family, Black, Male,14344,0,40, England, >50K
50, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,46, United-States, <=50K
28, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,4101,0,60, United-States, <=50K
40, Private, HS-grad, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,70, United-States, >50K
63, Federal-gov, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, United-States, >50K
38, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
74, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
46, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,56, United-States, >50K
50, Private, Some-college, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,0,0,35, United-States, >50K
64, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,40, United-States, >50K
37, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,80, United-States, >50K
35, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,60, United-States, >50K
70, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,23, United-States, <=50K
35, Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,60, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,5178,0,50, United-States, >50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, >50K
33, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,2258,84, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States, <=50K
40, Private, Assoc-voc, Separated, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,2829,0,40, United-States, <=50K
20, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
20, Private, HS-grad, Never-married, Other-service, Other-relative, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,18, Philippines, <=50K
53, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
39, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,8614,0,40, United-States, >50K
31, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
41, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
46, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
36, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
50, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
37, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
27, Self-emp-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1887,65, United-States, >50K
60, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
37, Federal-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
39, Private, 10th, Divorced, Other-service, Not-in-family, White, Female,0,0,60, United-States, <=50K
49, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,43, United-States, >50K
22, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States, <=50K
40, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States, >50K
34, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,55, United-States, >50K
65, State-gov, 7th-8th, Widowed, Other-service, Other-relative, White, Female,0,0,24, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, >50K
45, Federal-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,56, United-States, >50K
37, Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Male,0,0,45, United-States, <=50K
61, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,24, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
32, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0,0,40, Laos, >50K
29, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,38, United-States, <=50K
48, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,50, United-States, >50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,25, United-States, <=50K
52, Local-gov, Masters, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
43, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,22, United-States, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States, >50K
51, Private, 7th-8th, Separated, Machine-op-inspct, Not-in-family, Black, Female,0,0,30, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,40, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,3103,0,70, United-States, >50K
54, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,30, United-States, <=50K
27, State-gov, Some-college, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, Jamaica, <=50K
67, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,24, United-States, <=50K
46, Local-gov, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
34, Federal-gov, Some-college, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
50, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
22, Private, 9th, Married-spouse-absent, Other-service, Other-relative, White, Male,0,0,35, Mexico, <=50K
24, Federal-gov, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,25, United-States, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,80, United-States, >50K
39, Local-gov, 11th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
43, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, >50K
73, Private, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, United-States, >50K
34, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States, >50K
43, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
46, Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Germany, >50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
52, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, Black, Male,7688,0,40, United-States, >50K
80, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,1816,60, United-States, <=50K
